38,-36,6,-51,-27,-24,-50,-2,-22,-72,7,-38,-84,1,-39,-5,6,10,-94,4,-73,-72,-58,-16,-68,13,-73,-84,-8,-65,-30,-8,-13,-80,-33,-36,10,11,-16,-28,-8,-65,-82,-2,-96,-69,-9,-16,-31,-66,27,-56,-1,9,-55,11,-8,14,22,-12,-35,-13,-67,-19,10,-59,-68,-24,-36,-25,-45,-49,-12,-51,17,10,3,-56,23,7,24,-46,-30,-4,-30,-46,-14,-33,-5,-19,14,-5,-47,-3,-19,40,-67,-52,-63,-73,41,7,21,15,-47,33,-27,7,19,-60,22,-7,-24,5,2,16,-41,-3,-68,-61,-6,1,-52,-2,-10,-5,9,11,4,43,14,12,-7,-65,-34,8,-28,5,30,-6,-51,28,-59,39,-23,-18,0,-35,-31,5
49,-3,17,-21,70,9,-51,-8,2,13,-38,-43,-72,-42,5,28,-52,-44,25,-49,37,-37,27,-54,-4,79,-23,27,-14,35,66,-10,-49,5,-5,20,-44,-30,-86,-70,-15,33,32,-10,-34,-32,18,8,115,99,-24,-43,30,-20,-21,-39,-83,-27,-30,7,-31,-68,-80,-38,42,-40,-60,-38,-41,-42,-9,52,7,-58,-42,35,48,-25,18,-57,-10,7,13,-39,-21,-37,59,85,78,101,59,19,13,39,5,41,37,-3,50,-24,2,65,12,-4,13,-34,-34,44,-2,-10,-39,-53,-13,-16,20,-16,-38,-11,-52,-20,5,-35,-21,15,-44,-40,38,52,36,27,-29,-38,55,54,-17,52,10,49,32,27,9,42,-39,-11,-30,72,50,-44,-44,8
5,1,26,-11,-17,-16,35,12,33,-17,62,-5,58,-37,-10,37,-14,26,-9,-49,-45,21,21,59,-34,15,32,-11,-18,-57,-8,4,91,88,29,11,58,66,110,97,-37,-18,-53,-12,38,-24,1,-6,18,-33,-36,-20,16,-20,75,-14,-81,-9,-58,-47,8,-18,-56,-102,-63,27,-37,2,3,-19,7,13,18,10,16,-31,-60,-74,-29,15,-43,29,11,-10,23,3,69,70,81,-12,10,41,-26,38,-7,-14,-43,-79,4,-79,-11,29,-22,-3,4,-14,-20,-36,-14,8,-24,14,-67,-67,-15,-54,-5,-12,-9,6,29,-67,-22,23,0,47,2,30,-36,16,-5,-26,26,-49,-61,-28,-19,-9,-41,13,-34,-9,2,22,-35,12,42,3,23,18
40,-51,-71,-7,18,33,23,-45,-71,-66,-22,-27,25,-22,8,0,10,-73,10,5,-13,18,-53,-43,15,-8,-34,-23,-49,8,-34,-17,-34,14,6,-44,-47,-72,-20,0,-22,19,-26,-12,-69,-44,2,-21,-60,-28,-12,-51,-30,-19,14,2,-57,18,-48,-10,37,7,-70,-70,-39,36,-40,1,-22,0,10,7,-29,-10,-46,-53,-14,-38,16,-30,10,-20,-13,-62,39,-17,21,11,-48,-6,-45,-45,-32,27,16,-63,-10,2,-7,17,-39,-52,-5,-32,-47,-6,16,-9,22,13,-13,-16,16,10,17,41,32,1,18,8,13,36,26,-35,-30,-27,-36,37,41,-55,-51,17,27,-29,-53,39,16,-6,-14,12,3,-34,2,25,-23,1,-41,-13,-24,-55
16,-11,7,8,3,-36,14,-3,12,-10,-5,-14,-9,-54,1,15,-54,-10,-4,-36,39,-9,-20,-20,-8,34,-12,-55,-45,-25,-54,-20,-32,4,-30,-43,-4,-33,28,27,18,-41,8,30,27,26,-31,-25,-21,-54,10,43,43,-38,-31,11,-16,19,49,-42,15,30,-40,-9,12,-22,38,-9,28,28,-6,-28,0,-37,36,35,-48,-47,-23,0,25,-19,0,-1,18,24,50,-28,-34,-39,-27,23,-32,-13,-6,-13,-23,9,-52,-19,-3,-50,-35,35,-41,54,-9,-34,47,32,-15,-38,10,50,-5,-34,-30,-32,-9,11,-52,29,2,30,-25,-23,-8,24,-33,-23,3,8,-55,-7,-19,19,27,1,-46,-27,-46,-5,28,-55,-5,29,3,-19,38,7
-45,-31,-11,16,-40,-53,-5,-61,-4,-55,-38,8,-74,-21,-4,-1,-15,-40,15,-12,8,-39,17,-64,-32,-22,-25,9,-51,-79,-9,-14,-24,-42,-74,-30,-45,7,-64,7,12,-23,-2,27,-6,-54,-21,-51,-32,-36,23,-20,-64,-45,29,-47,3,21,-56,1,-47,3,-51,5,31,-19,-71,-6,-31,15,10,-48,11,8,29,-37,-27,41,-3,-21,35,-16,38,14,-1,27,-1,34,-13,-19,-17,-48,-7,30,-3,-30,-62,-60,25,-46,18,40,-23,-68,33,18,-51,-64,-30,-3,37,-11,-13,-34,-50,-50,-27,-58,-31,25,-54,-16,-4,38,-49,24,-45,-43,2,-38,-32,-18,20,41,-9,34,43,34,-46,8,-50,-21,-25,-1,17,-41,-14,12,-32,42
-9,-21,-4,29,37,20,-33,-11,-7,-69,-45,6,-47,-75,2,-24,16,-59,-63,-49,35,-26,-13,-15,-30,33,-37,-48,48,79,10,23,-10,-6,52,-25,-46,-48,-102,-31,-13,-17,-13,-87,47,2,17,-29,53,60,-15,-1,-27,-10,-2,-10,34,-42,24,-69,57,-50,22,30,3,-27,-50,18,19,75,5,16,2,40,60,58,31,54,28,-22,16,-37,-3,60,-20,27,-39,-62,-6,10,59,-27,-13,-25,-15,-43,-34,16,-47,-14,-54,35,-40,33,-10,-3,-26,15,29,25,50,12,-39,13,-46,17,4,-23,39,-34,-43,5,-39,-46,-40,28,2,-47,27,0,-25,-12,19,-1,-43,29,-28,1,-8,-34,-17,23,-47,55,0,19,12,38,-25,8
14,-58,-6,-16,-64,-39,-34,-20,-8,14,-52,-14,-49,-24,-50,-6,-57,-50,-25,-26,-21,-46,-19,-35,-60,-33,-11,-64,-69,-9,-8,-86,-31,-79,-50,-79,-38,-26,-10,-75,-23,-87,-72,-60,8,4,-31,-28,11,22,4,9,-2,-52,9,4,-35,20,32,24,-16,-26,19,19,-57,-3,-63,14,-29,22,6,-43,-1,-49,-59,-8,-75,24,3,3,-40,22,1,-19,17,-7,-45,16,-62,-4,-55,3,-6,4,31,7,-28,1,15,-31,7,11,-1,1,20,-54,25,-57,-14,-29,20,-62,-14,-61,-33,-54,-49,16,-54,-58,38,-65,-1,-49,38,4,43,-12,3,-31,35,-33,-41,-36,-28,24,9,-5,-3,-32,-26,41,15,16,-3,39,-40,-43,7,35
44,-9,-12,50,31,-39,7,25,-2,-29,-27,-41,-7,-18,50,-72,-87,-48,41,-38,-25,-53,-24,22,44,-36,40,41,-29,-51,22,31,0,-1,-95,-18,46,17,27,23,-1,4,29,14,47,-19,-54,-67,-4,-67,36,34,82,78,-26,29,26,39,-37,-1,21,17,18,-86,49,45,3,-23,4,-17,-11,-18,17,11,-25,-19,-21,-73,-75,-35,-45,-71,-49,-44,-12,-26,-63,57,-25,19,-19,11,70,88,-34,7,8,-24,-29,-14,-30,-27,61,72,-41,39,78,46,-35,-49,-34,4,-16,12,-18,-23,-28,-37,35,-4,-10,-33,7,-53,-24,-18,65,48,-2,18,-12,30,-36,12,26,40,29,-63,-63,53,-6,-55,-61,36,14,-5,3,4,44,-12
40,-39,-22,-7,48,-54,-28,-38,-22,5,18,-46,43,-14,-34,-26,-72,-41,-8,1,28,-53,-27,28,-9,0,31,-13,45,34,64,37,-28,14,-53,51,-5,-65,-42,-18,42,-55,-58,-60,12,32,-18,-46,37,14,55,28,3,-26,-26,108,41,8,-12,24,63,4,-47,34,25,62,-36,10,-13,29,-9,-51,28,-3,-59,-50,3,-16,-13,2,-80,-23,-17,-17,-47,-37,-49,-31,16,-14,-79,4,16,67,45,-1,-49,-26,-61,-3,-11,-10,-13,-39,-21,1,-21,45,-34,43,-28,35,22,-44,26,31,30,-40,-43,-16,31,-44,13,-40,-14,-16,-31,34,18,48,11,-8,19,1,-9,-16,11,-6,-19,41,31,-5,44,17,31,39,30,-2,-42,1
