1,-26,-36,-42,37,-15,-47,7,-14,46,-3,43,42,-24,-26,-43,47,36,-18,41,-12,30,-46,-28,45,46,0,10,-39,-29,28,-32,11,-46,11,33,17,-10,-47,-59,49,43,6,8,9,-51,-29,27,45,25,16,9,48,-4,-8,5,-12,17,0,-41,-2,-22,33,-52,9,7,42,30,-19,3,29,-1,10,32,50,-25,-33,-40,-8,-42,-11,-30,-16,-45,-39,4,-3,-5,18,6,-12,16,31,47,-45,47,-10,35,-13,34,36,-47,-49,10,-41,18,-33,-1,24,39,46,-31,27,-24,-47,-42,28,22,42,-13,33,24,1,-45,-46,-35,23,-36,12,15,7,36,33,16,-31,1,-30,38,15,-40,-41,43,26,-30,12,-48,33,-48,32,2,24,41,18,-33,-33,33,18,19,44,5,-43,7,-3,30,-58,3,36,16,2,47,20,33,50,12,-43,-31,4,-16,-13,11,37,-30,-34,-23,-42,44,50,-34,2,19,5,-16,28,49,20,-43,27,13,-38,-23,-47,41,-18,13,3,8,29,38,-11,0,-25,10,42,61,-3,-26,28,22,39,18,8,-12,58,11,-48,12,-46,-27,29,-31,22,5,-30,34,37,-3,30,-18,42,48,-49,28,3,-15,-31,-21,36,68,-23,-1,26,-16,20,24,37,45,-2,9,20,-22,-14,8,52,9,40,-19,-52,37,-27,47,27,-32,-7,41,-1,-29,-41,12,-25,-45,-41,44,-37,-15,2,-30,-33,3,-29,38,18,-36,-28,24,-1,-44,22,-13,-24,36,46,-67,-67,-40,-1,-6,5,-35,37,-1,15,59,25,63,48,14,37,43,-32,-52,-41,-69,4,32,-18,-23,56,46,-37,7,36,-8,7,5,-59,8,75,33,2,7,8,-33,-78,-57,36,50,-69,-41,-11,-2,-49,7,13,30,17,-51,31,-15,-7,-9,15,46,8,-26,15,-3,43,25,-44,-13,0,13,-40,15,9,5,-41,-37,53,-39,29,-20,-43,-42,53,-61,-12,21,-21,41,30,-51,-7,-29,-15,10,2,11,30,42
26,14,10,-57,26,38,-3,27,8,-2,-20,-46,23,-35,-39,-20,-24,30,-48,18,26,-17,-9,-20,18,-14,10,10,48,-41,-47,29,-44,34,29,-13,-36,-50,39,30,-13,26,40,20,-45,17,-47,-49,34,-26,-45,0,-40,-4,9,-54,13,24,-3,-8,-53,-60,31,32,25,-32,-54,18,12,-1,-45,5,7,21,33,-48,20,17,28,-8,-53,9,-71,19,-51,-61,-47,-19,26,26,-28,41,-60,-35,-46,-7,-3,-33,31,33,45,12,2,19,-49,-31,-32,8,-21,-25,38,40,-6,7,-30,-48,-39,-26,11,-28,38,6,24,29,-42,9,27,4,8,12,-43,24,-7,-39,12,-48,-38,-44,45,-55,41,31,-21,16,-17,12,14,22,7,-38,-6,7,-3,39,-36,38,-17,-15,37,22,3,-10,25,8,47,-6,-10,-28,-34,19,15,-23,-32,1,46,35,-21,47,34,20,14,17,-8,-41,-18,-48,32,16,1,35,-17,16,-13,-12,1,38,20,4,-25,7,9,-7,24,15,-8,12,-50,2,-26,-40,42,40,13,-55,10,-9,-11,41,-22,24,1,-15,-11,21,-24,39,-42,-31,-26,-33,-28,26,26,49,-36,-17,-36,-30,-8,42,-40,50,-13,-29,-22,37,31,46,-21,10,-4,22,5,-55,41,-47,-49,-1,-40,12,-47,35,-35,-22,-55,-7,18,-15,34,-40,31,5,-19,24,-6,22,-18,27,-34,4,-6,-38,-48,6,13,-28,36,-28,-8,-43,13,31,27,19,18,-38,-36,42,0,22,-7,27,22,-36,12,-43,-28,0,-11,-53,13,13,1,-43,11,0,-51,-23,-39,-4,-25,-5,4,30,15,-10,-29,-32,-46,35,-25,19,-16,47,15,-58,-63,-46,-50,-28,0,-22,37,-7,-9,9,-7,18,24,-20,-13,18,-14,-47,-37,10,-37,-38,3,42,-36,18,38,-48,-4,43,3,-13,-16,23,-5,26,-12,-25,48,8,-40,11,-2,-19,-39,22,35,-37,12,38,-38,-6,6,-42,-10,-58,35,-22,-32,16,-23,-43,-29,-10
4,30,-41,-8,-28,-35,23,-15,-48,-49,-37,1,2,3,4,-49,-10,46,18,17,36,19,-32,-14,11,-18,-21,24,2,-3,35,9,-14,-5,16,-20,-54,30,37,-8,-14,-22,-16,4,47,20,7,40,-42,24,29,8,-24,69,-47,-35,6,14,53,6,20,29,-19,-42,43,-17,-57,-76,-55,19,-30,3,-24,-38,-8,42,29,38,-23,33,-22,53,50,44,23,8,-30,9,-47,-36,-4,-25,-31,7,-28,49,38,-28,-31,-38,-21,6,34,-31,31,33,43,18,-46,30,-36,23,21,-50,4,5,-49,-18,-47,-9,-31,8,30,-19,24,-43,21,1,-45,-7,16,26,-4,-19,41,-23,-18,18,10,9,-4,-35,-23,-48,-38,29,-40,-46,-7,50,-23,10,-34,45,12,16,33,22,44,40,52,68,-5,-17,-36,-27,4,53,2,-16,15,5,45,14,-28,11,-9,35,-46,22,-27,-48,49,38,45,14,-14,-20,-15,-5,41,-25,-31,-28,4,8,20,-26,-34,27,-16,1,-5,-5,-28,-37,53,-17,-33,-8,-26,44,3,-25,40,8,-34,19,-35,-20,52,67,42,-36,-34,34,-33,-3,3,-23,44,-50,-24,39,-40,3,-25,14,17,43,12,11,4,16,29,3,40,2,33,0,-44,25,-37,35,1,44,-16,-17,-12,-44,36,11,-7,39,22,-1,9,-7,3,-44,41,46,-27,50,25,-40,-1,14,35,-24,-32,-43,-16,0,-13,37,-2,-48,-12,7,-42,44,-50,-44,34,-31,-13,43,-31,-32,-4,0,0,-31,-33,-12,8,-35,-29,24,15,-25,-2,-26,36,9,6,21,-44,-28,-5,-2,-12,-50,33,-9,-29,-46,29,-35,-70,25,4,34,28,17,17,43,13,21,-36,-39,-8,-20,46,11,-56,-3,29,13,-9,-31,2,5,-4,8,8,-32,29,13,-31,-46,5,12,38,26,-30,-17,-36,20,41,-27,50,-36,-35,20,10,-25,37,2,41,50,-26,40,0,31,-10,-18,49,-35,-7,5,-44,-36,-7,-37,26,47,-19,-21
-9,54,42,45,-1,-40,11,-23,28,-8,37,8,11,22,-25,-15,39,-31,-1,-25,24,29,40,48,14,-6,-11,12,37,-50,14,-19,45,-47,22,-50,31,-50,-4,39,36,-38,22,-17,-5,-29,18,-16,39,9,6,-45,14,-34,-28,-35,-39,-5,33,-27,46,-17,-33,-7,34,35,4,34,20,0,-52,-46,15,13,-9,53,2,-49,-39,33,-23,-6,-19,-4,-11,-62,-49,47,36,-1,13,48,-37,8,19,43,36,5,-2,8,-1,37,20,-25,-5,20,-34,-42,-30,31,-8,-38,32,0,-50,7,-15,42,-17,-34,41,-24,-6,-48,-17,18,25,-24,27,-32,43,5,21,17,9,-18,22,-29,18,45,-9,-30,11,29,-12,43,6,27,-17,-17,-34,34,32,-52,48,7,-8,-6,15,43,17,-2,-47,-2,-39,3,-13,35,-43,36,15,-54,22,51,29,16,-22,52,-13,-40,37,8,49,-26,14,-37,2,61,19,12,-31,22,54,-31,4,-3,35,27,3,32,46,22,39,25,13,38,-41,43,45,-41,-10,19,-36,21,46,-25,28,-21,-44,-56,23,0,-33,-53,-10,-24,-23,9,24,-21,45,19,-16,-43,0,-35,48,-28,-41,23,-43,-1,-10,-31,-9,40,14,-21,-37,-22,-17,14,-8,38,-24,22,-45,-49,33,6,-14,-42,42,-4,18,-1,-35,8,19,-4,30,9,-25,34,42,38,-19,-33,33,48,48,-39,-39,-28,18,-38,-7,-34,36,-8,9,-45,-40,35,15,-25,22,-2,10,-17,34,9,-50,-21,-44,35,32,-45,-22,37,-43,-44,-2,-30,-15,-38,-27,-39,21,-12,8,-30,6,39,-24,-55,24,38,17,-43,4,-17,-50,41,4,-46,-11,-12,-17,-29,0,-8,-26,5,-50,-33,36,-28,19,25,-10,31,-42,45,5,-8,44,0,47,28,45,-45,-32,25,-42,20,-36,-5,13,41,-22,-6,32,-35,15,17,5,-20,37,12,-47,-3,7,-21,41,18,26,-35,-29,34,5,14,37,37,-48,-52,-51,-50,-49,31
53,24,7,-2,-24,19,-11,-32,-6,-4,-38,-5,52,-34,37,-36,-31,33,-27,-5,34,51,58,39,-10,34,39,-41,-12,14,15,-30,20,-6,1,31,77,-7,-26,12,-5,67,-3,-66,-6,-17,-4,31,36,-19,-30,25,-4,5,-47,57,10,26,-9,-23,-47,-11,5,0,41,2,47,-35,1,-59,-39,4,60,3,45,-26,-11,21,43,37,25,21,47,8,18,20,28,4,-17,-24,49,13,-21,-28,48,-49,22,38,19,7,37,1,-25,31,-4,29,0,-12,-43,-3,19,48,-33,9,-25,-44,-47,-44,46,28,31,31,-38,-46,45,37,3,22,21,43,-31,16,-8,-38,-36,37,-39,18,55,56,41,7,32,1,-22,4,36,18,18,-23,-32,32,-13,1,-45,10,-14,33,28,-12,-60,0,64,2,15,-50,-22,8,-11,-8,-17,-35,-22,15,-41,-39,-3,-4,-17,-28,-13,-31,-14,13,-35,26,40,-2,6,-39,20,-40,22,62,-33,26,40,29,38,12,6,-7,41,-2,0,54,-32,-32,49,-6,27,13,-9,-16,9,36,52,-15,29,27,2,10,-63,-45,49,-27,-16,-18,14,24,-58,6,61,-21,4,44,29,8,-8,-1,-41,17,-3,-32,-7,16,-34,-5,39,48,-34,23,46,-35,40,-35,6,-40,40,47,-2,38,38,40,9,-11,-29,-15,40,24,-15,-16,17,39,8,25,50,42,-21,6,29,-11,-19,9,18,-24,10,18,-20,25,-6,10,-38,-3,-32,49,-20,-13,37,32,-64,-19,32,14,21,25,11,-30,31,-55,-22,-31,-55,-36,-49,-16,-49,-56,30,29,-42,43,17,33,2,25,-21,-13,12,-33,-16,9,-7,66,1,-56,-15,49,-32,-46,32,53,2,-31,9,-24,-4,65,-6,-5,-44,43,-36,23,15,-34,47,27,5,-19,-22,8,6,1,17,35,34,11,-20,-11,-45,-48,38,2,10,23,42,11,-23,12,51,16,24,0,-2,-36,63,-15,47,43,25,11,3,17,-20,-36,15,33,-19,-37
-35,-29,0,-22,40,4,31,-6,-41,-50,-20,-2,-10,-27,18,45,-49,9,-33,-27,-23,-40,-39,-45,-16,24,15,14,23,-53,35,45,-30,-27,-49,-6,24,-28,7,-4,23,-8,15,-53,-4,14,44,42,40,27,18,-19,32,-62,45,29,13,29,-30,4,-36,11,-3,7,-35,-45,4,-39,29,-12,-38,10,-42,-42,3,-49,-42,28,-36,-26,47,18,-4,-19,39,30,15,-39,6,40,9,-18,30,7,28,36,1,-42,-21,28,45,-35,42,46,-35,-42,5,-48,1,8,28,49,29,31,-29,25,-29,-32,46,5,17,24,-39,4,-29,24,44,-51,5,-31,-14,49,45,-46,-29,-3,15,-8,46,-14,-34,-11,15,-13,12,-36,33,-38,-20,42,-49,53,-17,-8,-12,-15,-7,40,-22,-25,26,-4,49,-17,-40,1,-16,30,-8,24,-28,-6,-13,-31,20,18,38,-38,-28,23,-21,11,32,48,-30,-44,36,-26,-45,18,42,30,19,-10,-8,-4,-12,38,2,21,10,32,-34,-12,-37,22,43,32,16,-42,-8,-48,-15,-29,-29,-45,-15,-3,-15,-21,-34,-1,0,22,-47,-23,-16,10,-38,3,-12,15,45,3,25,-7,47,61,-10,-13,-32,-2,46,-29,52,25,45,-5,47,-40,-32,-24,-20,-39,-51,-48,-25,40,40,43,-11,-40,-18,23,-33,-27,-9,38,-26,-4,-46,-14,37,45,20,-38,27,-3,-37,10,23,43,-46,26,-11,-42,15,1,33,22,32,-28,-41,-42,47,10,-29,38,-18,40,17,-52,-8,10,-27,-22,22,38,-5,34,18,-20,-40,-30,-45,-36,26,43,20,44,-18,33,41,-24,8,54,31,36,-57,34,16,-16,-7,-1,-16,-8,20,-5,5,-7,-31,48,-21,30,-24,-62,8,-20,-19,12,14,-28,9,7,-20,29,-11,-10,-18,31,35,15,23,21,-27,-15,30,35,-45,-4,14,-8,34,50,-26,14,24,41,10,18,-41,14,-26,32,7,-28,13,-44,-24,-12,26,-23,-27,55,-21,-26,12,-28,6,-49
24,-33,16,-6,-35,27,-46,-11,-43,39,-61,16,12,0,-1,-18,-2,-17,-23,-35,-53,-15,-53,9,-17,-45,-4,45,-48,-46,14,0,35,30,-37,41,6,31,-34,-20,-47,21,13,-44,17,14,-36,44,-21,22,31,-50,2,-32,37,-32,-3,45,-48,0,-41,-21,-54,-57,-50,39,-37,26,-12,-57,-33,15,13,31,-18,-3,-57,26,-14,38,-41,-37,-65,-21,-52,14,31,24,13,19,-3,-36,11,-15,-59,-3,-18,1,-53,39,12,5,-32,50,8,-32,-25,-25,49,11,24,-22,47,45,49,17,13,10,45,31,-21,21,-26,44,25,9,2,-26,-6,-21,-41,36,27,-30,9,35,41,9,-20,-30,30,-13,-37,-59,13,-8,33,31,20,-44,-8,2,36,-31,-5,-29,29,6,3,-16,6,22,4,-1,-10,18,29,-19,-49,-36,7,3,-39,-35,24,-50,7,-1,19,39,-13,-10,6,12,33,-2,-32,-15,-12,-24,1,-69,-47,-2,-23,16,-32,27,-5,27,-1,15,-42,44,10,-29,9,43,-9,-6,48,-22,41,11,-52,-31,2,39,-50,-20,38,-35,-30,17,-21,38,-22,27,-50,-36,5,14,24,31,2,-22,-22,23,-25,5,-26,-5,29,20,31,-50,19,-18,-4,-49,37,25,31,-9,17,-32,5,0,-3,-56,9,-6,-1,-3,-57,-10,8,-6,11,-5,37,-39,-3,37,-14,-49,-33,10,-50,-28,-29,23,-32,30,6,24,-31,-8,-50,-41,-44,36,18,-34,32,-37,-55,33,-45,17,-15,-53,-9,-16,-3,20,-53,5,16,16,7,24,21,34,27,-57,-44,-42,-26,-51,-42,-39,18,10,-12,-1,16,-12,-29,-27,5,-45,44,-21,5,-29,-43,20,-52,41,12,-41,-31,-7,-38,-9,43,-18,8,5,-48,-52,36,42,-35,47,-26,45,32,29,30,-7,37,30,-43,43,36,-35,-33,24,9,-16,-51,-14,-49,-6,33,-30,-40,-13,7,-19,-27,37,-19,12,-53,9,13,-32,19,-44,-14,-36,18,-16,44,-11,-37,3
-9,7,-11,-12,53,-33,61,42,5,-41,18,62,19,-12,44,-6,7,29,-28,23,-4,-33,21,1,-31,-54,31,29,26,37,-51,-31,12,-38,7,-23,12,45,16,1,-52,-1,65,-38,16,14,19,-40,-39,7,31,-72,-70,-87,-13,65,-67,-65,-17,-41,0,66,22,45,20,-38,1,26,63,54,-17,-23,30,-46,9,26,48,-5,-13,14,-21,61,-42,35,-22,-29,31,-3,-23,-17,-6,27,14,-2,23,-9,12,47,-45,-3,-48,42,-30,-3,44,-11,40,48,36,15,43,-29,2,-6,-1,-36,-13,-33,18,13,30,41,-41,-31,9,18,46,0,-21,-41,40,-29,46,26,4,0,-6,49,31,-28,-17,-11,18,49,9,-12,51,52,15,3,-25,47,63,50,29,-1,-19,-21,-29,13,30,-29,4,20,-8,-6,-17,-16,-14,47,23,-2,-34,46,50,-39,45,5,22,18,16,-16,2,54,20,25,58,3,29,49,23,45,-32,27,8,24,28,1,59,33,39,22,32,-15,-20,24,41,8,19,8,55,26,-27,56,28,48,56,21,-48,52,27,33,33,-67,36,-46,-5,55,-13,-10,32,48,-4,35,-46,48,44,55,15,12,39,-31,-45,-54,-6,-19,35,-42,48,-19,56,-4,2,33,14,21,-34,-20,17,51,-4,8,38,15,5,-29,41,-9,54,51,-26,36,-15,-8,-19,-14,-7,33,49,32,-1,30,27,47,-40,-30,6,45,38,-45,-21,23,-23,-47,-38,-34,57,24,2,12,16,-20,49,-16,-36,-72,-5,-34,42,14,51,-47,-34,-32,-15,35,37,20,23,-12,30,31,27,7,-49,-61,-29,38,-32,62,-6,25,-18,38,-36,-24,0,19,33,12,-45,19,0,-23,-20,-8,-31,-15,36,42,47,-9,-31,14,34,-36,34,2,15,-18,48,2,40,16,31,-48,19,12,49,-9,-39,2,24,-25,13,18,31,-37,-6,36,-23,-10,23,-40,-27,11,15,-3,30,51,-2,-10,2,-34,40,-17,18,11,28,-39
-1,-26,46,-22,30,57,58,43,9,23,58,46,1,32,32,49,45,4,23,37,53,-4,18,24,16,25,-12,-21,10,1,-24,5,-39,45,-33,39,26,-4,38,40,-12,-7,-41,29,-28,-7,12,-47,29,5,9,13,8,-37,-31,-39,-54,17,16,7,-29,-29,0,-11,40,-1,10,11,-8,4,43,-27,-51,1,9,17,57,52,-38,35,44,46,-33,49,22,-16,18,-16,-20,25,44,61,-23,10,47,-24,40,-21,2,-8,13,1,31,5,43,-17,14,-48,40,-42,-4,-32,44,-7,40,-2,39,-2,-30,-49,-43,-8,31,37,10,-35,41,-20,56,47,-9,-28,-33,9,-31,-38,52,13,-29,31,21,40,51,34,-34,25,-35,19,48,15,24,21,1,-45,-17,14,42,-37,3,-26,-27,-11,-13,9,31,-20,-4,-48,5,-31,-48,-20,50,-26,34,-27,-35,17,31,2,-26,57,35,56,36,-21,-32,4,21,-2,-36,20,59,-21,-36,7,1,54,63,5,4,-49,-21,-50,-19,21,21,-5,-44,43,43,27,-19,35,22,-18,10,-54,-31,-14,-30,12,9,-53,35,-26,-38,-51,6,-41,-16,18,-24,-24,-37,-10,34,-6,-8,-36,51,16,-25,44,41,-44,20,-13,-22,48,-50,-40,5,-30,-5,-21,47,10,22,4,39,6,11,54,-31,57,12,36,-13,42,-41,29,49,-24,27,1,-32,18,-13,-11,-6,51,9,14,35,-13,25,30,42,-24,24,17,37,9,-19,14,-40,53,2,15,17,-44,-15,-33,-47,-54,-21,-32,42,-14,22,-52,36,20,-5,24,30,-42,-4,-6,26,25,25,-35,25,-61,-34,27,24,17,-51,-32,-36,19,-20,-22,-56,-22,-61,-26,-15,-57,36,1,-30,-62,3,13,5,-43,51,16,-5,8,-32,-46,-29,40,-22,37,28,1,31,-41,-41,37,37,34,12,-18,13,16,45,-41,28,26,-41,41,-38,-28,6,34,-45,37,8,-14,-31,-38,2,-29,-38,-7,-40,19,-43,29,24,-11,-32,-26
-13,23,-1,50,-35,47,44,40,2,-8,37,11,0,22,8,42,31,32,36,60,9,-18,43,30,-31,55,63,41,-22,-35,1,-29,37,26,10,-15,-10,-37,3,42,42,-3,-35,32,-3,40,42,-14,55,42,-31,-1,46,37,-9,-9,-17,54,-12,-23,15,-14,26,-21,-24,2,-46,-23,3,-33,-12,-32,32,-48,-34,17,46,49,-16,48,9,12,-13,53,14,16,-9,41,44,47,-20,66,70,54,-6,25,22,17,-2,35,-48,-16,-26,49,-36,-30,4,38,0,42,13,21,44,6,27,-37,-12,21,31,-45,-10,-16,31,-46,30,-20,-28,1,58,-29,36,17,3,-13,-17,28,22,7,20,17,6,-22,59,54,2,-7,-33,15,-8,1,-7,-12,-27,31,13,42,24,23,-38,-24,-34,-11,-34,-10,-23,26,50,-22,-8,-14,40,48,-41,47,26,19,-24,33,30,24,33,3,-8,23,-38,-40,43,-13,25,-24,-32,62,25,50,-8,32,-34,-29,54,45,41,-18,16,14,-2,28,10,-43,31,39,-3,-73,-23,-12,-14,-13,-4,-15,8,-41,29,-8,-21,-16,14,43,-23,-24,6,-21,28,-14,8,-11,34,15,18,0,48,-11,-26,15,-6,-20,-28,-16,-13,27,60,39,11,12,47,-1,-41,37,62,8,18,38,7,-22,0,73,-15,-30,53,69,38,14,-19,16,-1,27,-4,36,16,-32,41,-6,31,42,-38,1,-31,30,15,55,-41,44,-42,-1,-17,-25,46,-11,10,-35,-39,58,1,-40,4,-11,18,-42,-45,11,77,28,32,-33,6,-7,-7,-31,16,4,35,-36,6,35,16,28,22,42,64,5,28,25,44,14,57,13,48,50,36,-37,-17,-34,-34,-48,-48,35,-15,3,23,-37,-13,-36,-24,-26,-40,-26,30,-30,39,14,43,-35,-40,42,-22,41,23,-44,-44,11,31,32,-31,25,-31,16,13,-47,27,33,37,22,18,-28,-12,28,12,-21,-6,-14,35,-15,2,-18,58,48,-17,41,-38,36,35,2
